Gene.stable.ID	seqnames	start	end	width	strand	Gene.type	Gene.name_NBIS*	Description (product)	Uniprot entry	Description from Ensembl
ENSCHAG00000000025	1	376827	379729	2903	-	protein_coding	cldni	claudin i [Source:ZFIN;Acc:ZDB-GENE-010328-9]		
ENSCHAG00000000026	1	381502	396939	15438	+	protein_coding	ppp1caa	serine/threonine-protein phosphatase alpha-2 isoform-like [Source:NCBI gene;Acc:105897688]		
ENSCHAG00000000027	1	404685	423129	18445	+	protein_coding	kmt5b*	Histone-lysine N-methyltransferase KMT5B	sp|Q5U3H2|KMT5B_DANRE	
ENSCHAG00000000028	1	472068	502749	30682	+	protein_coding	shank1	SH3 and multiple ankyrin repeat domains 1 [Source:ZFIN;Acc:ZDB-GENE-130530-691]		
ENSCHAG00000000033	1	536656	539135	2480	+	protein_coding	si:ch211-51c14.1	si:ch211-51c14.1 [Source:ZFIN;Acc:ZDB-GENE-120215-48]		
ENSCHAG00000000035	1	562558	586400	23843	+	protein_coding	syt3	synaptotagmin III [Source:ZFIN;Acc:ZDB-GENE-090601-1]		
ENSCHAG00000000036	1	606277	607278	1002	+	protein_coding				
ENSCHAG00000000037	1	609209	610521	1313	+	protein_coding	gin1*	Gypsy retrotransposon integrase-like protein 1	sp|Q9NXP7|GIN1_HUMAN	
ENSCHAG00000000038	1	614040	635367	21328	+	protein_coding	med25	mediator complex subunit 25 [Source:NCBI gene;Acc:406793]		
ENSCHAG00000000039	1	647484	678547	31064	+	protein_coding	lrrc4ba	leucine rich repeat containing 4Ba [Source:ZFIN;Acc:ZDB-GENE-080327-25]		
ENSCHAG00000000042	1	727013	751157	24145	-	protein_coding	mybpc2a	"myosin binding protein C, fast type a [Source:ZFIN;Acc:ZDB-GENE-060901-1]"		
ENSCHAG00000000043	1	777544	784237	6694	+	protein_coding	emc10	ER membrane protein complex subunit 10 [Source:NCBI gene;Acc:105897699]		
ENSCHAG00000000044	1	798328	799630	1303	+	protein_coding	zgc:195001	tripartite motif-containing protein 16-like [Source:NCBI gene;Acc:105897663]		
ENSCHAG00000000045	1	802066	805010	2945	-	protein_coding	akt1s1	AKT1 substrate 1 (proline-rich) [Source:ZFIN;Acc:ZDB-GENE-030131-482]		
ENSCHAG00000000046	1	806556	812642	6087	+	protein_coding	tbc1d17	"TBC1 domain family, member 17 [Source:ZFIN;Acc:ZDB-GENE-050522-79]"		
ENSCHAG00000000047	1	817235	819525	2291	+	protein_coding	ccndx	cyclin Dx [Source:ZFIN;Acc:ZDB-GENE-080917-47]		
ENSCHAG00000000048	1	821108	827013	5906	+	protein_coding	nucb1	nucleobindin 1 [Source:ZFIN;Acc:ZDB-GENE-060825-222]		
ENSCHAG00000000049	1	835681	873815	38135	+	protein_coding	ppfia3	PTPRF interacting protein alpha 3 [Source:ZFIN;Acc:ZDB-GENE-100311-3]		
ENSCHAG00000000060	1	857262	859014	1753	-	protein_coding	pol*	LINE-1 retrotransposable element ORF2 protein	sp|P11369|LORF2_MOUSE	
ENSCHAG00000000061	1	859375	861214	1840	-	protein_coding				
ENSCHAG00000000062	1	876837	878252	1416	-	protein_coding	bdnf*	Brain-derived neurotrophic factor	sp|Q90322|BDNF_CYPCA	
ENSCHAG00000000064	1	904171	915711	11541	+	protein_coding	slc1a9	solute carrier family 1 member 9 [Source:ZFIN;Acc:ZDB-GENE-101111-9]		
ENSCHAG00000000069	1	920836	921649	814	+	protein_coding	fgf21	fibroblast growth factor 21 [Source:ZFIN;Acc:ZDB-GENE-060623-2]		
ENSCHAG00000000074	1	933259	938686	5428	-	protein_coding	kcna7	"potassium voltage-gated channel, shaker-related subfamily, member 7 [Source:ZFIN;Acc:ZDB-GENE-120215-257]"		
ENSCHAG00000000079	1	941070	945553	4484	+	protein_coding	hsd17b14	hydroxysteroid (17-beta) dehydrogenase 14 [Source:ZFIN;Acc:ZDB-GENE-040801-24]		
ENSCHAG00000000095	1	947315	956011	8697	+	protein_coding	bcat2	"branched chain amino-acid transaminase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040718-425]"		
ENSCHAG00000000420	1	956883	961272	4390	-	protein_coding	ifi35	interferon-induced protein 35 [Source:ZFIN;Acc:ZDB-GENE-100311-2]		
ENSCHAG00000000826	1	963470	975564	12095	+	protein_coding	grn*	Progranulin	sp|P28798|GRN_MOUSE	granulin a [Source:ZFIN;Acc:ZDB-GENE-030131-8434]
ENSCHAG00000000694	1	963470	982520	19051	+	protein_coding	grn*	Progranulin	sp|P23785|GRN_RAT	
ENSCHAG00000000964	1	981792	983475	1684	+	protein_coding				
ENSCHAG00000001000	1	984383	990380	5998	+	protein_coding	RUNDC1	RUN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25418]		
ENSCHAG00000001042	1	992347	994366	2020	+	protein_coding	rpl27	ribosomal protein L27 [Source:NCBI gene;Acc:105891651]		
ENSCHAG00000001320	1	998559	1008576	10018	+	protein_coding	slc25a39	solute carrier family 25 member 39 [Source:NCBI gene;Acc:393458]		
ENSCHAG00000003201	1	1009872	1014989	5118	+	protein_coding	rpl3	60S ribosomal protein L3 [Source:NCBI gene;Acc:105891650]		
ENSCHAG00000003811	1	1011059	1013299	2241	-	protein_coding				
ENSCHAG00000003863	1	1026556	1081032	54477	-	protein_coding	cacng2a	voltage-dependent calcium channel gamma-2 subunit [Source:NCBI gene;Acc:105891649]		
ENSCHAG00000003906	1	1091867	1095070	3204	+	protein_coding	si:ch73-233k15.2	si:ch73-233k15.2 [Source:ZFIN;Acc:ZDB-GENE-120215-22]		
ENSCHAG00000003985	1	1099068	1105712	6645	-	protein_coding	si:ch73-233k15.2	si:ch73-233k15.2 [Source:ZFIN;Acc:ZDB-GENE-120215-22]		
ENSCHAG00000004025	1	1106263	1110465	4203	-	protein_coding	gimap4*	GTPase IMAP family member 4	sp|Q9NUV9|GIMA4_HUMAN	
ENSCHAG00000004035	1	1110901	1114471	3571	+	protein_coding	sult3st1	amine sulfotransferase-like [Source:NCBI gene;Acc:105891646]		
ENSCHAG00000004043	1	1120574	1123667	3094	+	protein_coding	sult3st1	"sulfotransferase family 3, cytosolic sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061207-52]"		
ENSCHAG00000004057	1	1143035	1145677	2643	-	protein_coding	sstr3	somatostatin receptor 3 [Source:ZFIN;Acc:ZDB-GENE-061009-35]		
ENSCHAG00000004247	1	1182995	1185667	2673	+	protein_coding	si:ch73-233k15.2	si:ch73-233k15.2 [Source:ZFIN;Acc:ZDB-GENE-120215-22]		
ENSCHAG00000004276	1	1204274	1205851	1578	-	protein_coding	sstr3	somatostatin receptor 3 [Source:ZFIN;Acc:ZDB-GENE-061009-35]		
ENSCHAG00000004291	1	1231307	1244565	13259	-	protein_coding	rac2	ras-related C3 botulinum toxin substrate 2 [Source:NCBI gene;Acc:105892187]		
ENSCHAG00000004465	1	1245473	1256108	10636	+	protein_coding	cyth4a	cytohesin 4a [Source:ZFIN;Acc:ZDB-GENE-090624-6]		
ENSCHAG00000004649	1	1259399	1270411	11013	-	protein_coding	fam83fa	family with sequence similarity 83 member Fa [Source:ZFIN;Acc:ZDB-GENE-090624-5]		
ENSCHAG00000004668	1	1270051	1283378	13328	-	protein_coding	grap2a	GRB2 related adaptor protein 2a [Source:ZFIN;Acc:ZDB-GENE-050417-275]		
ENSCHAG00000004739	1	1320615	1446528	125914	-	protein_coding	cacna1ia	calcium voltage-gated channel subunit alpha1 Ia [Source:ZFIN;Acc:ZDB-GENE-060503-324]		
ENSCHAG00000006802	1	1503949	1508471	4523	-	protein_coding	lgals2a	beta-galactoside-binding lectin-like [Source:NCBI gene;Acc:105892188]		
ENSCHAG00000006830	1	1511804	1520558	8755	+	protein_coding	gtpbp1	GTP binding protein 1 [Source:NCBI gene;Acc:105892200]		
ENSCHAG00000007114	1	1522228	1544733	22506	-	protein_coding	sgsm3	small G protein signaling modulator 3 [Source:NCBI gene;Acc:406635]		
ENSCHAG00000008605	1	1592480	1595203	2724	-	protein_coding	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29396]		
ENSCHAG00000008618	1	1661777	1670814	9038	+	protein_coding	gtf2f1	general transcription factor IIF subunit 1 [Source:NCBI gene;Acc:105892195]		
ENSCHAG00000008648	1	1671688	1673388	1701	-	protein_coding	alkbh7	alkB homolog 7 [Source:NCBI gene;Acc:105892197]		
ENSCHAG00000009028	1	1684934	1780787	95854	+	protein_coding	cacna1aa	"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, a [Source:ZFIN;Acc:ZDB-GENE-040724-26]"		
ENSCHAG00000022078	1	1789167	1789727	561	-	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]		
ENSCHAG00000022085	1	1797410	1808029	10620	-	protein_coding	nacc1a	"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing a [Source:ZFIN;Acc:ZDB-GENE-010319-3]"		
ENSCHAG00000022094	1	1819741	1820713	973	-	protein_coding				
ENSCHAG00000022101	1	1828332	1852343	24012	-	protein_coding	ighv3-7*	Immunoglobulin heavy variable 3-7	sp|P01780|HV307_HUMAN	
ENSCHAG00000022108	1	1833516	1833578	63	-	IG_J_gene	IG_J_gene			
ENSCHAG00000000619	1	1855864	1881756	25893	-	protein_coding	ighv2-3	immunoglobulin heavy variable 2-3 [Source:ZFIN;Acc:ZDB-GENE-040514-3]		
ENSCHAG00000001287	1	1857381	1873512	16132	-	protein_coding	tgm2b	transglutaminase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-2576]		
ENSCHAG00000003550	1	1882919	1883218	300	-	IG_V_gene	ighv3-7*	Immunoglobulin heavy variable 3-7	sp|P01780|HV307_HUMAN	
ENSCHAG00000003562	1	1887129	1887646	518	-	protein_coding	ighv3-7*	Immunoglobulin heavy variable 3-7	sp|P01780|HV307_HUMAN	
ENSCHAG00000003577	1	1888951	1889253	303	-	IG_V_gene	ighv3-7*	Immunoglobulin heavy variable 3-7	sp|P01780|HV307_HUMAN	
ENSCHAG00000003587	1	1891336	1895409	4074	-	protein_coding	ighv3-48*	Immunoglobulin heavy variable 3-48	sp|P01763|HV348_HUMAN	
ENSCHAG00000003597	1	1894810	1895112	303	-	IG_V_gene	ighv3-72*	Immunoglobulin heavy variable 3-72	sp|A0A0B4J1Y9|HV372_HUMAN	
ENSCHAG00000003602	1	1896903	1897551	649	-	protein_coding	ighv3-7*	Immunoglobulin heavy variable 3-7	sp|P01780|HV307_HUMAN	
ENSCHAG00000003632	1	1898881	1899672	792	-	protein_coding	ighv3-7*	Immunoglobulin heavy variable 3-7	sp|P01780|HV307_HUMAN	
ENSCHAG00000003671	1	1900651	1900950	300	-	IG_V_gene	ighv3-43*	Immunoglobulin heavy variable 3-43	sp|A0A0B4J1X8|HV343_HUMAN	
ENSCHAG00000003687	1	1903386	1945115	41730	-	protein_coding	ighv3-66*	Immunoglobulin heavy variable 3-66	sp|A0A0C4DH42|HV366_HUMAN	
ENSCHAG00000003750	1	1905077	1949058	43982	-	protein_coding				
ENSCHAG00000003761	1	1906586	1907725	1140	-	protein_coding	ighv1-2	immunoglobulin heavy variable 1-2 [Source:ZFIN;Acc:ZDB-GENE-030924-2]		
ENSCHAG00000003791	1	1910148	1912050	1903	-	protein_coding	ighv3-30-3*	Immunoglobulin heavy variable 3-30-3	sp|P0DP02|HVC33_HUMAN	
ENSCHAG00000003829	1	1912887	1913470	584	-	protein_coding	ighv3-30-3*	Immunoglobulin heavy variable 3-30-3	sp|P0DP02|HVC33_HUMAN	
ENSCHAG00000003859	1	1917983	1918950	968	-	protein_coding	ighv3-30-3*	Immunoglobulin heavy variable 3-30-3	sp|P0DP02|HVC33_HUMAN	
ENSCHAG00000003876	1	1924299	1924604	306	-	IG_V_gene	ighv6-1	immunoglobulin heavy variable 6-1 [Source:ZFIN;Acc:ZDB-GENE-040514-23]		
ENSCHAG00000003884	1	1932859	1933452	594	-	protein_coding				
ENSCHAG00000003902	1	1935817	1936477	661	-	protein_coding	ighv3-43*	Immunoglobulin heavy variable 3-43	sp|A0A0B4J1X8|HV343_HUMAN	
ENSCHAG00000003918	1	1937499	1937798	300	-	IG_V_gene	ighv3-48*	Immunoglobulin heavy variable 3-48	sp|P01763|HV348_HUMAN	
ENSCHAG00000003928	1	1938386	1938829	444	-	protein_coding	ighv3-6*	Ig heavy chain V region 3-6	sp|P18531|HVM60_MOUSE	
ENSCHAG00000003944	1	1940285	1941759	1475	-	protein_coding	ighv3-38-3*	Probable non-functional immunoglobulin heavy variable 3-38-3	sp|P0DTE1|HV383_HUMAN	
ENSCHAG00000003990	1	1944514	1944822	309	-	IG_V_gene	ighv3-43*	Immunoglobulin heavy variable 3-43	sp|A0A0B4J1X8|HV343_HUMAN	
ENSCHAG00000003996	1	1946883	1947543	661	-	protein_coding	ighv3-48*	Immunoglobulin heavy variable 3-48	sp|P01763|HV348_HUMAN	
ENSCHAG00000004023	1	1948569	1948877	309	-	IG_V_gene	ighv3-48*	Immunoglobulin heavy variable 3-48	sp|P01763|HV348_HUMAN	
ENSCHAG00000004033	1	1950414	1951553	1140	-	protein_coding	ighv3-48*	Immunoglobulin heavy variable 3-48	sp|P01763|HV348_HUMAN	
ENSCHAG00000004067	1	1955351	1955934	584	-	protein_coding	ighv3-30-3*	Immunoglobulin heavy variable 3-30-3	sp|P0DP02|HVC33_HUMAN	
ENSCHAG00000004116	1	1959290	1959595	306	-	IG_V_gene	ighv3-48*	Immunoglobulin heavy variable 3-48	sp|P01763|HV348_HUMAN	
ENSCHAG00000004177	1	1970369	1972631	2263	-	protein_coding				
ENSCHAG00000004205	1	1974622	1974922	301	-	IG_V_gene	ighv6-1	immunoglobulin heavy variable 6-1 [Source:ZFIN;Acc:ZDB-GENE-040514-23]		
ENSCHAG00000004223	1	1981122	1989470	8349	-	protein_coding	SYNGR2	synaptogyrin-2-like [Source:NCBI gene;Acc:105908960]		
ENSCHAG00000004234	1	1991774	2003286	11513	+	protein_coding	tmc1*	Transmembrane channel-like protein 1	sp|F1QFU0|TMC1_DANRE	
ENSCHAG00000004267	1	2007503	2016060	8558	+	protein_coding	hnrnpa1*	Heterogeneous nuclear ribonucleoprotein A1	sp|P09651|ROA1_HUMAN	
ENSCHAG00000004309	1	2018381	2020474	2094	+	protein_coding	birc5.2-a*	Baculoviral IAP repeat-containing protein 5.2-A	sp|Q50L39|BI52A_XENLA	baculoviral IAP repeat-containing protein 5.2-A-like [Source:NCBI gene;Acc:105908958]
ENSCHAG00000004428	1	2022264	2068003	45740	-	protein_coding	rnf213a	"Danio rerio ring finger protein 213a (rnf213a), mRNA. [Source:RefSeq mRNA;Acc:NM_001353835]"		
ENSCHAG00000006349	1	2072848	2074687	1840	+	protein_coding	npb*	Neuropeptide B	sp|Q8MJV4|NPB_BOVIN	
ENSCHAG00000006427	1	2077083	2084277	7195	-	protein_coding	gnai1*	Guanine nucleotide-binding protein G(i) subunit alpha-1	sp|P87383|GNAI1_ORYLA	
ENSCHAG00000006513	1	2086674	2098501	11828	-	protein_coding	PCYT2	"phosphate cytidylyltransferase 2, ethanolamine [Source:NCBI gene;Acc:105908955]"		
ENSCHAG00000007107	1	2103241	2108358	5118	-	protein_coding	MAFG	MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]		
ENSCHAG00000007113	1	2109435	2116161	6727	-	protein_coding	pycr1a	pyrroline-5-carboxylate reductase 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1675]		
ENSCHAG00000007201	1	2117072	2118205	1134	-	protein_coding	myadml2	myeloid-associated differentiation marker-like 2 [Source:ZFIN;Acc:ZDB-GENE-120807-3]		
ENSCHAG00000007234	1	2121478	2132574	11097	-	protein_coding	notum1a	"notum, palmitoleoyl-protein carboxylesterase a [Source:NCBI gene;Acc:570510]"		
ENSCHAG00000007481	1	2141253	2178357	37105	+	protein_coding	aspscr1*	Tether containing UBX domain for GLUT4	sp|Q8VBT9|ASPC1_MOUSE	
ENSCHAG00000007551	1	2179755	2183645	3891	-	protein_coding	cenpx	centromere protein X [Source:NCBI gene;Acc:105908957]		
ENSCHAG00000007583	1	2196747	2197688	942	-	protein_coding	lire1*	LINE-1 retrotransposable element ORF1 protein	sp|P11260|LORF1_MOUSE	
ENSCHAG00000007602	1	2385948	2390607	4660	-	protein_coding	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]		
ENSCHAG00000007627	1	2550588	2561551	10964	+	protein_coding	psmd11a	26S proteasome non-ATPase regulatory subunit 11 [Source:NCBI gene;Acc:105908963]		
ENSCHAG00000007868	1	2564371	2589512	25142	+	protein_coding	nsfa	N-ethylmaleimide-sensitive factor a [Source:ZFIN;Acc:ZDB-GENE-030616-37]		
ENSCHAG00000009773	1	2591380	2641315	49936	-	protein_coding	itgax*	Integrin alpha-X	sp|Q9QXH4|ITAX_MOUSE	
ENSCHAG00000009952	1	2615891	2629290	13400	-	protein_coding	itgax*	Integrin alpha-X	sp|Q9QXH4|ITAX_MOUSE	
ENSCHAG00000009977	1	2643853	2669085	25233	-	protein_coding	itgax*	Integrin alpha-X	sp|P20702|ITAX_HUMAN	
ENSCHAG00000010026	1	2674807	2688867	14061	-	protein_coding	ppp1r1b*	Protein phosphatase 1 regulatory subunit 1B	sp|P07516|PPR1B_BOVIN	
ENSCHAG00000010061	1	2695397	2697380	1984	-	protein_coding	cdca9*	Borealin-2	sp|P86347|BORE2_DANRE	
ENSCHAG00000010075	1	2700190	2717075	16886	-	protein_coding	socs7*	Suppressor of cytokine signaling 7	sp|O14512|SOCS7_HUMAN	
ENSCHAG00000010097	1	2721359	2744735	23377	-	protein_coding	kpnb1	karyopherin subunit beta 1 [Source:NCBI gene;Acc:105913043]		
ENSCHAG00000010525	1	2746635	2753072	6438	-	protein_coding	ube2f*	NEDD8-conjugating enzyme UBE2F	sp|Q6NY82|UBE2F_DANRE	ubiquitin conjugating enzyme E2 M [Source:NCBI gene;Acc:105913033]
ENSCHAG00000010625	1	2753478	2781050	27573	+	protein_coding	zgc:158376	zgc:158376 [Source:ZFIN;Acc:ZDB-GENE-070720-8]		
ENSCHAG00000010646	1	2788239	2799144	10906	-	protein_coding	btr30	"bloodthirsty-related gene family, member 30 [Source:ZFIN;Acc:ZDB-GENE-040426-1407]"		
ENSCHAG00000010661	1	2806493	2813217	6725	-	protein_coding	UTP18	UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]		
ENSCHAG00000010977	1	2814189	2817478	3290	+	protein_coding	nme2b.2	"NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-000210-33]"		
ENSCHAG00000011067	1	2821798	2839884	18087	-	protein_coding	mbtd1*	MBT domain-containing protein 1	sp|Q6DIN3|MBTD1_XENTR	
ENSCHAG00000011363	1	2853067	2861137	8071	+	protein_coding	si:dkey-89b17.4	si:dkey-89b17.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8215]		
ENSCHAG00000011421	1	2877698	2925066	47369	-	protein_coding	stx1b	syntaxin-1B [Source:NCBI gene;Acc:105913027]		
ENSCHAG00000011524	1	2928133	2932796	4664	-	protein_coding	prf1.3	perforin-1-like [Source:NCBI gene;Acc:105913026]		
ENSCHAG00000011616	1	2933188	2938456	5269	-	protein_coding	c9*	Complement component C9	sp|P79755|CO9_TAKRU	perforin-1-like [Source:NCBI gene;Acc:105913016]
ENSCHAG00000011686	1	2956966	2964524	7559	+	protein_coding	prdm9*	Histone-lysine N-methyltransferase PRDM9	sp|Q6P2A1|PRDM9_DANRE	
ENSCHAG00000011692	1	2981337	2983178	1842	+	protein_coding	si:dkeyp-113d7.1	si:dkeyp-113d7.1 [Source:ZFIN;Acc:ZDB-GENE-030131-755]		
ENSCHAG00000011704	1	2983357	3026814	43458	-	protein_coding	krt13*	"Keratin, type I cytoskeletal 13"	sp|Q8JFQ6|K1C13_ONCMY	"keratin, type I cytoskeletal 13-like [Source:NCBI gene;Acc:105896513]"
ENSCHAG00000011748	1	2990264	2993734	3471	-	protein_coding	krt13*	"Keratin, type I cytoskeletal 13"	sp|Q8JFQ6|K1C13_ONCMY	
ENSCHAG00000011752	1	3000627	3003915	3289	-	protein_coding	krt13*	"Keratin, type I cytoskeletal 13"	sp|Q8JFQ6|K1C13_ONCMY	"keratin, type I cytoskeletal 13-like [Source:NCBI gene;Acc:105913042]"
ENSCHAG00000011786	1	3012669	3016440	3772	-	protein_coding				
ENSCHAG00000011818	1	3039890	3044361	4472	+	protein_coding	krt13*	"Keratin, type I cytoskeletal 13"	sp|Q8JFQ6|K1C13_ONCMY	
ENSCHAG00000012123	1	3048976	3052592	3617	-	protein_coding	krt13*	"Keratin, type I cytoskeletal 13"	sp|Q8JFQ6|K1C13_ONCMY	
ENSCHAG00000012341	1	3062841	3066907	4067	-	protein_coding				"keratin, type I cytoskeletal 13-like [Source:NCBI gene;Acc:105892211]"
ENSCHAG00000012589	1	3075814	3081228	5415	-	protein_coding	krt13*	"Keratin, type I cytoskeletal 13"	sp|Q8JFQ6|K1C13_ONCMY	"type I cytokeratin, enveloping layer [Source:ZFIN;Acc:ZDB-GENE-991008-6]"
ENSCHAG00000012963	1	3085330	3088903	3574	-	protein_coding	cyt1	"keratin, type I cytoskeletal 13-like [Source:NCBI gene;Acc:105888683]"		
ENSCHAG00000013037	1	3142846	3145929	3084	+	protein_coding	eif1	eukaryotic translation initiation factor 1 [Source:NCBI gene;Acc:105888686]		
ENSCHAG00000013091	1	3209967	3212359	2393	+	protein_coding	pibf1*	Progesterone-induced-blocking factor 1	sp|Q8WXW3|PIBF1_HUMAN	
ENSCHAG00000013165	1	3223519	3312885	89367	+	protein_coding	jupb	junction plakoglobin b [Source:ZFIN;Acc:ZDB-GENE-110407-10]		
ENSCHAG00000015057	1	3331920	3332505	586	+	protein_coding	acan*	Aggrecan core protein	sp|P07898|PGCA_CHICK	
ENSCHAG00000015080	1	3336127	3337076	950	+	protein_coding	l-2*	Lactose-binding lectin l-2	sp|Q90WJ8|AJL2_ANGJA	
ENSCHAG00000015102	1	3352584	3358287	5704	+	protein_coding	tll1*	Dorsal-ventral patterning tolloid-like protein 1	sp|O57460|TLL1_DANRE	
ENSCHAG00000015112	1	3373132	3375865	2734	-	protein_coding	l-2*	Lactose-binding lectin l-2	sp|Q90WJ8|AJL2_ANGJA	
ENSCHAG00000000050	1	3378867	3380208	1342	-	protein_coding	l-2*	Lactose-binding lectin l-2	sp|Q90WJ8|AJL2_ANGJA	
ENSCHAG00000000051	1	3454729	3458010	3282	+	protein_coding	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]		
ENSCHAG00000000057	1	3466882	3488879	21998	-	protein_coding	usp22	ubiquitin specific peptidase 22 [Source:NCBI gene;Acc:692275]		
ENSCHAG00000000063	1	3518742	3520314	1573	+	protein_coding	MED9	mediator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25487]		
ENSCHAG00000000067	1	3520665	3526423	5759	-	protein_coding	rap1b*	Ras-related protein Rap-1b	sp|Q9YH37|RAP1B_CYPCA	dexamethasone-induced Ras-related protein 1-like [Source:NCBI gene;Acc:105905287]
ENSCHAG00000000068	1	3592588	3595676	3089	-	protein_coding	SOX8	SRY-box transcription factor 8b [Source:ZFIN;Acc:ZDB-GENE-031114-1]		
ENSCHAG00000000082	1	3685149	3772608	87460	+	protein_coding	RAB26	"RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]"		
ENSCHAG00000000094	1	3777066	3807182	30117	-	protein_coding	ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]		
ENSCHAG00000000169	1	3807574	3814066	6493	-	protein_coding	rnps1	RNA-binding protein with serine-rich domain 1 [Source:NCBI gene;Acc:105905291]		
ENSCHAG00000000251	1	3825083	3896651	71569	-	protein_coding	cyp2k1*	Cytochrome P450 2K1	sp|Q92090|CP2K1_ONCMY	
ENSCHAG00000000805	1	3846749	3858117	11369	+	protein_coding	alg13	ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:ZFIN;Acc:ZDB-GENE-060307-1]		
ENSCHAG00000000998	1	3906306	3938458	32153	-	protein_coding	SUN1	Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18587]		
ENSCHAG00000001325	1	3951722	3956992	5271	+	protein_coding	ccp110*	Centriolar coiled-coil protein of 110 kDa	sp|O43303|CP110_HUMAN	
