seqnames,start,end,width
chr24,18370002,18380001,10000
chr24,18650002,18655001,5000
chr24,18680002,18775001,95000
chr24,18915002,19030001,115000
chr25,150021,155020,5000
chr25,270021,290020,20000
chr25,340021,345020,5000
chr25,415021,445020,30000
chr25,640021,650020,10000
chr25,745021,775020,30000
chr25,1220021,1245020,25000
chr25,1275021,1345020,70000
chr25,1395021,1485020,90000
chr25,1550021,1560020,10000
chr25,1665021,1695020,30000
chr25,1955021,1980020,25000
chr25,2050021,2065020,15000
chr25,2095021,2105020,10000
chr25,2720021,2735020,15000
chr25,2765021,2825020,60000
chr25,2925021,2940020,15000
chr25,3190021,3325020,135000
chr25,3720021,3785020,65000
chr25,3835021,3845020,10000
chr25,4030021,4115020,85000
chr25,4160021,4200020,40000
chr25,4255021,4440020,185000
chr25,4480021,4485020,5000
chr25,4540021,4615020,75000
chr25,12235021,12245020,10000
chr25,14185021,14355020,170000
chr25,14385021,14785020,400000
chr25,14810021,14850020,40000
chr25,14875021,14880020,5000
chr26,245001,250000,5000
chr26,320001,325000,5000
chr26,560001,590000,30000
chr26,625001,675000,50000
chr26,755001,760000,5000
chr26,800001,825000,25000
chr26,890001,895000,5000
chr26,925001,955000,30000
chr26,980001,990000,10000
chr26,1110001,1115000,5000
chr26,1165001,1170000,5000
chr26,1685001,1690000,5000
chr26,1730001,1805000,75000
chr26,1920001,1935000,15000
chr26,2245001,2250000,5000
chr26,2435001,2440000,5000
chr26,2625001,2630000,5000
chr26,2655001,2660000,5000
chr26,2835001,2840000,5000
chr26,2910001,2915000,5000
chr26,3095001,3105000,10000
chr26,4090001,4095000,5000
chr26,4965001,4970000,5000
chr26,5345001,5375000,30000
chr26,5400001,5405000,5000
chr26,7115001,7135000,20000
chr26,7225001,7270000,45000
chr26,7300001,7360000,60000
chr26,7390001,7395000,5000
chr26,8355001,8360000,5000
chr26,8425001,8430000,5000
chr26,8510001,8515000,5000
chr26,9785001,9825000,40000
chr26,10185001,10190000,5000
chr26,11195001,11325000,130000
chr26,11370001,11510000,140000
chr26,11950001,11990000,40000
chr3,95001,100000,5000
chr3,730001,750000,20000
chr3,925001,930000,5000
chr3,1895001,1935000,40000
chr3,2030001,2080000,50000
chr3,5465001,5470000,5000
chr3,24570001,24575000,5000
chr3,31485001,31490000,5000
chr3,32490001,32495000,5000
chr4,80003,115002,35000
chr4,1090003,1120002,30000
chr4,1450003,1455002,5000
chr4,4330003,4335002,5000
chr4,5720003,5745002,25000
chr4,5790003,5795002,5000
chr4,6830003,6835002,5000
chr4,12305003,12310002,5000
chr4,25230003,25235002,5000
chr4,25675003,25685002,10000
chr4,25770003,25775002,5000
chr4,26825003,26830002,5000
chr4,27195003,27200002,5000
chr4,27395003,27400002,5000
chr4,27435003,27455002,20000
chr4,31480003,31490002,10000
chr4,32245003,32250002,5000
chr5,8155001,8160000,5000
chr5,17000001,17005000,5000
chr5,20365001,20380000,15000
chr5,24625001,24630000,5000
chr5,26935001,26950000,15000
chr5,27590001,27605000,15000
chr5,27635001,27695000,60000
chr5,27755001,27760000,5000
chr5,27790001,27880000,90000
chr5,30860001,30865000,5000
chr6,5001,45000,40000
chr6,2515001,2520000,5000
chr6,2710001,2715000,5000
chr6,3330001,3335000,5000
chr6,3370001,3375000,5000
chr6,3425001,3430000,5000
chr6,6145001,6160000,15000
chr6,6295001,6305000,10000
chr6,6340001,6385000,45000
chr6,6410001,6425000,15000
chr6,6455001,6810000,355000
chr6,8935001,8940000,5000
chr6,10250001,10255000,5000
chr6,12025001,12030000,5000
chr6,12360001,12385000,25000
chr6,12430001,12450000,20000
chr6,24900001,24905000,5000
chr6,25280001,25290000,10000
chr6,31055001,31060000,5000
chr6,31095001,31100000,5000
chr7,620001,625000,5000
chr7,2350001,2380000,30000
chr7,2415001,2525000,110000
chr7,2675001,2835000,160000
chr7,2925001,2945000,20000
chr7,3035001,3060000,25000
chr7,3240001,3275000,35000
chr7,3465001,3600000,135000
chr7,3705001,3710000,5000
chr7,3865001,3870000,5000
chr7,8390001,8395000,5000
chr7,10595001,10600000,5000
chr7,17530001,17535000,5000
chr7,19530001,19535000,5000
chr7,20120001,20155000,35000
chr7,20580001,20585000,5000
chr7,21510001,21535000,25000
chr7,24595001,24625000,30000
chr7,24695001,24700000,5000
chr7,28385001,28430000,45000
chr7,28585001,28620000,35000
chr7,28800001,28835000,35000
chr7,28885001,28915000,30000
chr7,30330001,30335000,5000
chr7,30365001,30415000,50000
chr7,30530001,30535000,5000
chr8,12040001,12055000,15000
chr8,12080001,12120000,40000
chr8,12170001,12230000,60000
chr8,20135001,20165000,30000
chr8,20210001,20215000,5000
chr8,21695001,21700000,5000
chr8,23845001,23850000,5000
chr8,28185001,28195000,10000
chr8,29885001,29890000,5000
chr9,2045001,2065000,20000
chr9,4635001,4650000,15000
chr9,4675001,4680000,5000
chr9,7700001,7705000,5000
chr9,18525001,18530000,5000
chr9,20445001,20490000,45000
chr9,20515001,20555000,40000
chr9,21145001,21150000,5000
chr9,21530001,21535000,5000
chr9,23350001,23360000,10000
chr9,25765001,25770000,5000
chr9,25900001,25930000,30000
chr9,26700001,26735000,35000
chr9,27310001,27325000,15000
chr9,27545001,27570000,25000
chr9,27605001,27645000,40000
chr9,27680001,27690000,10000
chr9,27855001,27890000,35000
chr9,28020001,28065000,45000
chr9,28110001,28135000,25000
chr9,28190001,28195000,5000
chr9,28220001,28320000,100000
chr9,28345001,28385000,40000
chr9,28415001,28490000,75000
chr9,28515001,28525000,10000
chr9,28610001,28620000,10000
chr9,28650001,28700000,50000
chr9,28740001,28745000,5000
chr9,29345001,29350000,5000
chr9,29425001,29430000,5000
chr9,29520001,29525000,5000
chr9,29660001,29665000,5000
chr9,29715001,29725000,10000
chr9,29815001,29830000,15000
chr9,29940001,29945000,5000
chr9,29970001,29980000,10000
